,shortcode,object
1104,CrUHQ_GvVkG,"brassiere, bra, bandeau"
1105,CrUHRtzNU1v,soccer_ball
1106,CrUI81VtKMQ,"web_site, website, internet_site, site"
1107,CrULOLuPfAU,sleeping_bag
1108,CrUPfT0vb1d,crutch
1109,CrUzJSRufO-,bulletproof_vest
1110,CrV-r37MeBI,maillot
1111,CrV02jtuXBt,"bikini, two-piece"
1112,CrV03gQMHvy,"shoe_shop, shoe-shop, shoe_store"
1113,CrV3Pv7qgos,umbrella
1114,CrV7IKCt1ea,stole
1115,CrVdgl2Ikn1,torch
1116,CrVGo1mAyI-,"pajama, pyjama, pj's, jammies"
1117,CrVlfAAKgTx,running_shoe
1118,CrVnARqu3TB,Band_Aid
1119,CrVNQdiohTZ,"ballplayer, baseball_player"
1120,CrVPW3_okbc,cardigan
1121,CrVqaeNoPNI,soccer_ball
1122,CrVrcNuNJvh,"web_site, website, internet_site, site"
1123,CrVRFP4PmZz,gown
1124,CrVvamCuU13,Lakeland_terrier
1125,CrVwIicI5BJ,"lab_coat, laboratory_coat"
1126,CrVzoYwu28_,snail
1127,CrW4D42I4aV,"horizontal_bar, high_bar"
1128,CrW5XiKP1w_,"mountain_bike, all-terrain_bike, off-roader"
1129,CrWAs5xLCcI,plastic_bag
1130,CrWCciNM6vi,"web_site, website, internet_site, site"
1131,CrWfKgPs69Q,balloon
1132,CrWGUnFqspp,"unicycle, monocycle"
1133,CrWq8zKONQJ,"cornet, horn, trumpet, trump"
1134,CrWrpSFyphQ,alp
1135,CrWv2Z4vetQ,"racket, racquet"
1136,CrWV352Ie6K,poncho
1137,CrWXJXisZNM,ox
1138,CrWYHLENNN_,"web_site, website, internet_site, site"
1139,CrWZCm9v6JD,shoji
1140,CrX0Q5QoSoo,"parallel_bars, bars"
1141,CrX4XcoPwNC,"balance_beam, beam"
1142,CrX5Y8ptHhv,"web_site, website, internet_site, site"
1143,CrX8pvbhJgP,"lakeside, lakeshore"
1144,CrXco3NSNtR,comic_book
1145,CrXDlpttUDc,"ballplayer, baseball_player"
1146,CrXfo93rb3S,tray
1147,CrXgMwctzdM,cardigan
1148,CrXkAB3qpUS,"hoopskirt, crinoline"
1149,CrXnFBZuh18,maillot
1150,CrXOAM8hvcu,pretzel
1151,CrXpcQ3IQ03,"cliff, drop, drop-off"
1152,CrXxAcwOXq1,envelope
1153,CrXxVN-u9yU,"maze, labyrinth"
1154,CrXz61rJElI,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
1155,CrXzwDapIP8,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
1156,CrX_ap2ND34,"tobacco_shop, tobacconist_shop, tobacconist"
1157,CrY-lvhI-ZD,basketball
1158,CrY1EBxs5z8,hourglass
1159,CrY3c7HNVST,soccer_ball
1160,CrY44FIMva-,rugby_ball
1161,CrY45wsIccg,comic_book
1162,CrY5pJ2rMzD,"nematode, nematode_worm, roundworm"
1163,CrY9QZ9oa6C,maillot
1164,CrYa8l2AT5g,"web_site, website, internet_site, site"
1165,CrYBl-noYT2,"ballplayer, baseball_player"
1166,CrYefwXPakx,"television, television_system"
1167,CrYeq3utMx5,"maillot, tank_suit"
1168,CrYfG0CuU9O,"web_site, website, internet_site, site"
1169,CrYfhuzok0Y,comic_book
1170,CrYgAc0ufKM,"jersey, T-shirt, tee_shirt"
1171,CrYIIVHLuZM,"jersey, T-shirt, tee_shirt"
1172,CrYIoU_o_qy,bulletproof_vest
1173,CrYirodyFaW,"web_site, website, internet_site, site"
1174,CrYjhdgh2Zy,library
1175,CrYKaGIs9m1,"American_Staffordshire_terrier, Staffordshire_terrier, American_pit_bull_terrier, pit_bull_terrier"
1176,CrYL1mNsZH-,running_shoe
1177,CrYlClKhFRS,"crib, cot"
1178,CrYlpX1ux1A,"web_site, website, internet_site, site"
1179,CrYnRuat2lA,"dalmatian, coach_dog, carriage_dog"
1180,CrYnSrqIxhG,"bikini, two-piece"
1181,CrYoQqGrZro,soccer_ball
1182,CrYpL-1t3UY,sweatshirt
1183,CrYpOnIuYdn,"web_site, website, internet_site, site"
1184,CrYQLiEPj7X,"shoe_shop, shoe-shop, shoe_store"
1185,CrYqoWxIeQ_,scoreboard
1186,CrYRQ1hOOgA,alp
1187,CrYSpAoo2ht,"seashore, coast, seacoast, sea-coast"
1188,CrYSvnmrfQN,bulletproof_vest
1189,CrYTDLIrSSH,"web_site, website, internet_site, site"
1190,CrYttqbOSUz,"greenhouse, nursery, glasshouse"
1191,CrYuuFdL3T2,comic_book
1192,CrYwVwnJ4RL,"ballplayer, baseball_player"
1193,CrYyOcDuiOM,monitor
1194,CrY_YDOpNPJ,"jersey, T-shirt, tee_shirt"
1195,CrZ--xeLqyC,"web_site, website, internet_site, site"
1196,CrZ1VBUSS3L,"web_site, website, internet_site, site"
1197,CrZ66yQr9ib,throne
1198,CrZAA05sukK,maillot
1199,CrZarvUP8Cf,convertible
1200,CrZB2atO2b9,maillot
1201,CrZbeyiPmFg,bow
1202,CrZbgIPP_bX,"web_site, website, internet_site, site"
1203,CrZB_H2onTe,"jersey, T-shirt, tee_shirt"
1204,CrZC8jzIajs,comic_book
1205,CrZDM8Pus6X,"jersey, T-shirt, tee_shirt"
1206,CrZEFqOo6Yd,"ballplayer, baseball_player"
1207,CrZeLmoNj1m,"lakeside, lakeshore"
1208,CrZeP32Ncoq,soccer_ball
1209,CrZEtUAS1Ro,rugby_ball
1210,CrZF-9AydyP,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
1211,CrZFPEyos1a,"ballplayer, baseball_player"
1212,CrZGc6_IjKv,"jersey, T-shirt, tee_shirt"
1213,CrZJkMVOKSR,"web_site, website, internet_site, site"
1214,CrZKEv9y_3l,maillot
1215,CrZL1rIuylA,"suit, suit_of_clothes"
1216,CrZNFm-J0UV,barbell
1217,CrZOHoKrwLi,barbershop
1218,CrZPFN9PiPi,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
1219,CrZRaT4ScPc,hair_slide
1220,CrZRH8eMU53,"ballplayer, baseball_player"
1221,CrZsxd-Prrb,"motor_scooter, scooter"
1222,CrZVF0kvixB,sarong
1223,CrZwRBorSpZ,comic_book
1224,CrZ_G9NSuBv,"web_site, website, internet_site, site"
1225,CWQ7DnrvTCl,sweatshirt
