,id,username,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
49,3416684,victoriassecret,Clothing (Brand),74893084,166,TRUE,TRUE,TRUE,TRUE,570,164869.6667,170.0833333,14041.16667,8.135833333,4.365949074,3377,187,27973.58333,0.631179727
50,1550693326,narendramodi,Politician,74685634,0,FALSE,FALSE,TRUE,TRUE,104,6272116.667,12850.33333,1205053.667,165.7580833,36.47621958,585,20720,3180242.75,7.918608134
51,243103112,nehakakkar,Musician,74056900,283,FALSE,FALSE,TRUE,TRUE,21,3255262.75,3792.166667,572758.6667,44.61075,52.30083656,122,2212.333333,414360.75,1.694490741
52,2274763833,bts.bighitofficial,Musician/band,73040638,10,TRUE,FALSE,TRUE,TRUE,33,5490350.167,36106.41667,3074006,25.43791667,104.6922319,1293,6500.916667,2646824.583,0.520870205
53,979177642,ronaldinho,Public figure,72807571,528,TRUE,FALSE,TRUE,TRUE,622,2229101.5,1673.583333,340164.8333,65.2525,3.801848874,3007,964,337050.9167,1.75797991
54,572299277,deepikapadukone,Artist,73804479,184,FALSE,FALSE,TRUE,TRUE,73,2454183,2600.416667,369430.3333,321.796,26.19895321,401,858.3333333,419957.25,0.650404264
55,212742998,shawnmendes,Musician,72190847,1535,TRUE,FALSE,TRUE,TRUE,599,2609301.75,5217.416667,864389.6667,201.50775,26.55496337,2556,11377.08333,2050436.583,12.09125645
56,3562982855,katrinakaif,Actor,71992299,530,FALSE,FALSE,TRUE,TRUE,241,6234984.833,4819.083333,802028.9167,37.67483333,21.23016956,1074,6968.5,2059398.75,9.682331762
57,8011506095,sooyaaa__,Artist,71884756,0,FALSE,FALSE,TRUE,TRUE,47,5631364.417,43874.25,3201865.917,21.78308333,38.4862376,1010,27465,4741959.083,1.437555967
58,232024162,psg,Sports,70453168,105,TRUE,TRUE,TRUE,TRUE,1684,1465872.417,848.5833333,315947.6667,46.95025,12.19010846,11432,957.25,407092.5833,0.25336913
59,1418652011,emmawatson,Public figure,70869669,78,FALSE,FALSE,TRUE,TRUE,56,2606172.583,6638.583333,726993.5833,82.68008333,5.784820188,423,3887.916667,1555162.667,11.66666882
60,8004108750,roses_are_rosie,Artist,70571837,0,FALSE,FALSE,TRUE,TRUE,86,7249740.083,31195.16667,3615938.417,36.58591667,27.32120288,912,57444.33333,6781375.75,3.51422991
61,303054725,justintimberlake,Artist,69331370,1139,FALSE,FALSE,TRUE,TRUE,270,3199225.417,4137.416667,283224.1667,50.2885,42.63480861,798,6826.25,703187.4167,17.81070304
62,1234301500,karimbenzema,Athlete,69323145,135,FALSE,TRUE,TRUE,TRUE,259,2568399.167,3574.583333,620801.4167,33.41625,10.03204969,2117,16.75,1506191.917,3.879308779
63,1918078581,raffinagita1717,Public figure,68563846,5781,TRUE,TRUE,TRUE,TRUE,6153,960093.8333,384.9166667,92369.75,247.4656667,2.794612929,19106,1010.25,437397.5833,0.156251075
64,204633036,marvel,Brand,67894092,190,FALSE,TRUE,TRUE,TRUE,3829,429126.4167,134.0833333,72330.5,27.48825,12.08700876,7871,398,230270.0833,0.287202298
65,176618189,tomholland2013,Actor,67146450,294,FALSE,FALSE,FALSE,TRUE,222,17767625.33,19336.41667,4636422.25,72.34675,32.69688765,1224,34846.58333,7866178.333,38.64102497
66,19596899,camila_cabello,,67124648,1365,TRUE,FALSE,TRUE,TRUE,656,2826750.75,3715.166667,591260.9167,63.06625,13.7993373,2995,6065.916667,1390735.25,4.164293153
67,227407214,jacquelinef143,Actor,66285784,1271,FALSE,FALSE,TRUE,TRUE,448,984450.4167,1295.25,179341.3333,56.40808333,6.69484441,2528,3048.75,612708.8333,2.644485614
68,208502444,premierleague,,66038183,31,FALSE,TRUE,TRUE,TRUE,5134,519479.0833,232.0833333,73857.66667,36.06416667,8.520112763,22802,921.8333333,203734.25,-2.294935682
